name,version,downloads,updated_at,repository,description
sha2,0.11.0,527636907,2026-03-25,https://github.com/RustCrypto/hashes,"Pure Rust implementation of the SHA-2 hash function family including SHA-224, SHA-256, SHA-384, and SHA-512."
clap_lex,1.1.0,523705397,2026-03-12,https://github.com/clap-rs/clap,"Minimal, flexible command line parser"
typenum,1.19.0,520704532,2025-10-02,https://github.com/paholg/typenum,"Typenum is a Rust library for type-level numbers evaluated at     compile time. It currently supports bits, unsigned integers, and signed     integers. It also provides a type-level array of type-leve"
futures-sink,0.3.32,520357759,2026-02-15,https://github.com/rust-lang/futures-rs,The asynchronous `Sink` trait for the futures-rs library.
tracing,0.1.44,519152088,2025-12-18,https://github.com/tokio-rs/tracing,Application-level tracing for Rust.
unicode-width,0.2.2,517449834,2025-10-06,https://github.com/unicode-rs/unicode-width,Determine displayed width of `char` and `str` types according to Unicode Standard Annex #11 rules.
futures-channel,0.3.32,516940549,2026-02-15,https://github.com/rust-lang/futures-rs,Channels for asynchronous communication using futures-rs.
h2,0.4.13,515726164,2026-01-05,https://github.com/hyperium/h2,An HTTP/2 client and server
chrono,0.4.44,515013144,2026-02-23,https://github.com/chronotope/chrono,Date and time library for Rust
ahash,0.8.12,510824842,2025-05-08,https://github.com/tkaitchuck/ahash,A non-cryptographic hash function using AES-NI for high performance
tempfile,3.27.0,500359389,2026-03-11,https://github.com/Stebalien/tempfile,A library for managing temporary files and directories.
futures-io,0.3.32,496549847,2026-02-15,https://github.com/rust-lang/futures-rs,"The `AsyncRead`, `AsyncWrite`, `AsyncSeek`, and `AsyncBufRead` traits for the futures-rs library."
nix,0.31.2,493689611,2026-02-28,https://github.com/nix-rust/nix,Rust friendly bindings to *nix APIs
tokio-util,0.7.18,493176314,2026-01-04,https://github.com/tokio-rs/tokio,Additional utilities for working with Tokio.
uuid,1.23.0,489726868,2026-03-27,https://github.com/uuid-rs/uuid,A library to generate and parse UUIDs.
zerocopy,0.8.47,489117831,2026-03-19,https://github.com/google/zerocopy,"Zerocopy makes zero-cost memory manipulation effortless. We write ""unsafe"" so you don't have to."
futures,0.3.32,487204003,2026-02-15,https://github.com/rust-lang/futures-rs,"An implementation of futures and streams featuring zero allocations, composability, and iterator-like interfaces."
errno,0.3.14,485576176,2025-09-09,https://github.com/lambda-fairy/rust-errno,Cross-platform interface to the `errno` variable.
toml_edit,0.25.8+spec-1.1.0,485313495,2026-03-23,https://github.com/toml-rs/toml,Yet another format-preserving TOML parser.
form_urlencoded,1.2.2,484478579,2025-08-21,https://github.com/servo/rust-url,"Parser and serializer for the application/x-www-form-urlencoded syntax, as used by HTML forms."
cpufeatures,0.3.0,482389089,2026-02-05,https://github.com/RustCrypto/utils,"Lightweight runtime CPU feature detection for aarch64, loongarch64, and x86/x86_64 targets, with no_std support and support for mobile targets including Android and iOS"
wasi,0.14.7+wasi-0.2.4,479371665,2025-09-15,https://github.com/bytecodealliance/wasi-rs,WASI API bindings for Rust
pkg-config,0.3.32,473683803,2025-03-03,https://github.com/rust-lang/pkg-config-rs,A library to run the pkg-config system tool at build time in order to be used in Cargo build scripts.
winnow,1.0.0,471722321,2026-03-17,https://github.com/winnow-rs/winnow,"A byte-oriented, zero-copy, parser combinators library"
tokio-rustls,0.26.4,468195590,2025-09-26,https://github.com/rustls/tokio-rustls,Asynchronous TLS/SSL streams for Tokio using Rustls.
futures-macro,0.3.32,462401908,2026-02-15,https://github.com/rust-lang/futures-rs,The futures-rs procedural macro implementations.
tokio-macros,2.6.1,461021858,2026-03-02,https://github.com/tokio-rs/tokio,Tokio's proc macros.
nom,8.0.0,459854172,2025-01-26,https://github.com/rust-bakery/nom,"A byte-oriented, zero-copy, parser combinators library"
equivalent,1.0.2,455499902,2025-02-14,https://github.com/indexmap-rs/equivalent,Traits for key comparison in maps.
ring,0.17.14,454196480,2025-03-11,https://github.com/briansmith/ring,An experiment.
tracing-attributes,0.1.31,451775375,2025-11-26,https://github.com/tokio-rs/tracing,Procedural macro attributes for automatically instrumenting functions.
tinyvec,1.11.0,446117850,2026-03-14,https://github.com/Lokathor/tinyvec,`tinyvec` provides 100% safe vec-like data structures.
rustls-webpki,0.103.10,444716682,2026-03-20,https://github.com/rustls/webpki,Web PKI X.509 Certificate Verification.
clap_derive,4.6.0,444295667,2026-03-12,https://github.com/clap-rs/clap,"Parse command line argument by defining a struct, derive crate."
httparse,1.10.1,443937700,2025-03-03,https://github.com/seanmonstar/httparse,"A tiny, safe, speedy, zero-copy HTTP/1.x parser."
spin,0.10.0,442520508,2025-03-26,https://github.com/mvdnes/spin-rs.git,Spin-based synchronization primitives
futures-executor,0.3.32,442246987,2026-02-15,https://github.com/rust-lang/futures-rs,Executors for asynchronous tasks based on the futures-rs library.
redox_syscall,0.7.3,437512279,2026-02-27,https://gitlab.redox-os.org/redox-os/syscall,A Rust library to access raw Redox system calls
rustc-hash,2.1.1,436653927,2025-02-05,https://github.com/rust-lang/rustc-hash,"A speedy, non-cryptographic hashing algorithm used by rustc"
crypto-common,0.2.1,434276845,2026-02-25,https://github.com/RustCrypto/traits,Common traits used by cryptographic algorithms
num_cpus,1.17.0,432231750,2025-05-30,https://github.com/seanmonstar/num_cpus,Get the number of CPUs on a machine.
signal-hook-registry,1.4.8,431235622,2025-12-25,https://github.com/vorner/signal-hook,Backend crate for signal-hook
thread_local,1.1.9,430920955,2025-06-12,https://github.com/Amanieu/thread_local-rs,Per-object thread-local storage
rustversion,1.0.22,429735798,2025-08-08,https://github.com/dtolnay/rustversion,Conditional compilation according to rustc compiler version
crc32fast,1.5.0,426532863,2025-07-13,https://github.com/srijs/rust-crc32fast,"Fast, SIMD-accelerated CRC32 (IEEE) checksum computation"
webpki-roots,1.0.6,425835313,2026-02-03,https://github.com/rustls/webpki-roots,Mozilla's CA root certificates for use with webpki
darling_core,0.23.0,423280554,2025-12-03,https://github.com/TedDriggs/darling,Helper crate for proc-macro library for reading attributes into structs when implementing custom derives. Use https://crates.io/crates/darling in your code.
darling,0.23.0,423209554,2025-12-03,https://github.com/TedDriggs/darling,A proc-macro library for reading attributes into structs when implementing custom derives.
darling_macro,0.23.0,423189931,2025-12-03,https://github.com/TedDriggs/darling,Internal support for a proc-macro library for reading attributes into structs when implementing custom derives. Use https://crates.io/crates/darling in your code.
flate2,1.1.9,422835348,2026-02-03,https://github.com/rust-lang/flate2-rs,"DEFLATE compression and decompression exposed as Read/BufRead/Write streams. Supports miniz_oxide and multiple zlib implementations. Supports zlib, gzip, and raw deflate streams."
async-trait,0.1.89,418928374,2025-08-14,https://github.com/dtolnay/async-trait,Type erasure for async trait methods
clap_builder,4.6.0,418836113,2026-03-12,https://github.com/clap-rs/clap,"A simple to use, efficient, and full-featured Command Line Argument Parser"
time-macros,0.2.27,418268432,2026-02-05,https://github.com/time-rs/time,Procedural macros for the time crate.     This crate is an implementation detail and should not be relied upon directly.
reqwest,0.13.2,413940679,2026-02-06,https://github.com/seanmonstar/reqwest,higher level HTTP client library
env_logger,0.11.10,412459640,2026-03-23,https://github.com/rust-cli/env_logger,A logging implementation for `log` which is configured via an environment variable.
iana-time-zone,0.1.65,412128313,2026-01-28,https://github.com/strawlab/iana-time-zone,get the IANA time zone for the current system
object,0.38.1,407252271,2026-01-02,https://github.com/gimli-rs/object,A unified interface for reading and writing object file formats.
anstyle,1.0.14,405935549,2026-03-13,https://github.com/rust-cli/anstyle.git,ANSI text styling
strum_macros,0.28.0,401410194,2026-02-22,https://github.com/Peternator7/strum,Helpful macros for working with enums and strings
unicode-normalization,0.1.25,399483091,2025-10-30,https://github.com/unicode-rs/unicode-normalization,"This crate provides functions for normalization of Unicode strings, including Canonical and Compatible Decomposition and Recomposition, as described in Unicode Standard Annex #15."
toml_datetime,1.1.0+spec-1.1.0,399026956,2026-03-23,https://github.com/toml-rs/toml,A TOML-compatible datetime type
rustc-demangle,0.1.27,393758037,2026-01-15,https://github.com/rust-lang/rustc-demangle,Rust compiler symbol demangling.
strum,0.28.0,393718112,2026-02-22,https://github.com/Peternator7/strum,Helpful macros for working with enums and strings
gimli,0.33.0,393077106,2026-01-24,https://github.com/gimli-rs/gimli,A library for reading and writing the DWARF debugging format.
zeroize,1.8.2,392950329,2025-09-29,https://github.com/RustCrypto/utils,Securely clear secrets from memory with a simple trait built on stable Rust primitives which guarantee memory is zeroed using an operation will not be 'optimized away' by the compiler. Uses a portable
rustls-pemfile,2.2.0,392169586,2024-09-30,https://github.com/rustls/pemfile,Basic .pem file parser for keys and certificates
crossbeam-deque,0.8.6,391522448,2024-12-15,https://github.com/crossbeam-rs/crossbeam,Concurrent work-stealing deque
glob,0.3.3,388393328,2025-08-11,https://github.com/rust-lang/glob,Support for matching file paths against Unix shell style patterns.
crossbeam-channel,0.5.15,384474058,2025-04-08,https://github.com/crossbeam-rs/crossbeam,Multi-producer multi-consumer channels for message passing
pin-project,1.1.11,381641136,2026-02-27,https://github.com/taiki-e/pin-project,A crate for safe and ergonomic pin-projection.
pin-project-internal,1.1.11,381547375,2026-02-27,https://github.com/taiki-e/pin-project,Implementation detail of the `pin-project` crate.
anstream,1.0.0,376778636,2026-02-11,https://github.com/rust-cli/anstyle.git,IO stream adapters for writing colored text that will gracefully degrade according to your terminal's capabilities.
hyper-rustls,0.27.7,376254110,2025-06-06,https://github.com/rustls/hyper-rustls,Rustls+hyper integration for pure rust HTTPS
synstructure,0.13.2,374314645,2025-04-30,https://github.com/mystor/synstructure,Helper methods and macros for custom derives
sync_wrapper,1.0.2,373427400,2024-11-20,https://github.com/Actyx/sync_wrapper,A tool for enlisting the compiler's help in proving the absence of concurrency
time-core,0.1.8,373164141,2026-01-24,https://github.com/time-rs/time,This crate is an implementation detail and should not be relied upon directly.
hermit-abi,0.5.2,373004545,2025-06-11,https://github.com/hermit-os/hermit-rs,Hermit system calls definitions.
tower,0.5.3,371185547,2026-01-12,https://github.com/tower-rs/tower,Tower is a library of modular and reusable components for building robust clients and servers.
anstyle-query,1.1.5,366328569,2025-11-13,https://github.com/rust-cli/anstyle.git,Look up colored console capabilities
anstyle-parse,1.0.0,365801139,2026-02-11,https://github.com/rust-cli/anstyle.git,Parse ANSI Style Escapes
num-bigint,0.4.6,363860219,2025-01-25,https://github.com/rust-num/num-bigint,Big integer implementation for Rust
unicode-bidi,0.3.18,363258490,2024-12-16,https://github.com/servo/unicode-bidi,Implementation of the Unicode Bidirectional Algorithm
addr2line,0.26.0,361123929,2026-01-24,https://github.com/gimli-rs/addr2line,"A cross-platform symbolication library written in Rust, using `gimli`"
backtrace,0.3.76,358759406,2025-09-26,https://github.com/rust-lang/backtrace-rs,A library to acquire a stack trace (backtrace) at runtime in a Rust program.
tracing-subscriber,0.3.23,357196563,2026-03-13,https://github.com/tokio-rs/tracing,Utilities for implementing and composing `tracing` subscribers.
colorchoice,1.0.5,355981161,2026-03-13,https://github.com/rust-cli/anstyle.git,Global override of color control
openssl-probe,0.2.1,352221624,2026-01-20,https://github.com/rustls/openssl-probe,"A library for helping to find system-wide trust anchor (""root"") certificate locations based on paths typically used by `openssl`."
prost,0.14.3,351685552,2026-01-10,https://github.com/tokio-rs/prost,A Protocol Buffers implementation for the Rust Language.
prost-derive,0.14.3,348332894,2026-01-10,https://github.com/tokio-rs/prost,Generate encoding and decoding implementations for Prost annotated types.
event-listener,5.4.1,347904778,2025-08-03,https://github.com/smol-rs/event-listener,Notify async tasks or threads
stable_deref_trait,1.2.1,345517803,2025-10-09,https://github.com/storyyeller/stable_deref_trait,"An unsafe marker trait for types like Box and Rc that dereference to a stable address even when moved, and hence can be used with libraries such as owning_ref and rental."
ipnet,2.12.0,343969655,2026-03-03,https://github.com/krisprice/ipnet,"Provides types and useful methods for working with IPv4 and IPv6 network addresses, commonly called IP prefixes. The new `IpNet`, `Ipv4Net`, and `Ipv6Net` types build on the existing `IpAddr`, `Ipv4Ad"
hmac,0.12.1,343676569,2026-03-20,https://github.com/RustCrypto/MACs,Generic implementation of Hash-based Message Authentication Code (HMAC)
encoding_rs,0.8.35,342883890,2024-10-24,https://github.com/hsivonen/encoding_rs,A Gecko-oriented implementation of the Encoding Standard
rayon,1.11.0,339852590,2025-08-12,https://github.com/rayon-rs/rayon,Simple work-stealing parallelism for Rust
rayon-core,1.13.0,337043159,2025-08-12,https://github.com/rayon-rs/rayon,Core APIs for Rayon
bumpalo,3.20.2,334950758,2026-02-19,https://github.com/fitzgen/bumpalo,A fast bump allocation arena for Rust.
unicode-segmentation,1.13.2,334583089,2026-03-26,https://github.com/unicode-rs/unicode-segmentation,"This crate provides Grapheme Cluster, Word and Sentence boundaries according to Unicode Standard Annex #29 rules."
deranged,0.5.8,333435592,2026-02-21,https://github.com/jhpratt/deranged,Ranged integers
phf_shared,0.13.1,332694877,2025-08-23,https://github.com/rust-phf/rust-phf,Support code shared by PHF libraries
jobserver,0.1.34,329973495,2025-08-23,https://github.com/rust-lang/jobserver-rs,An implementation of the GNU Make jobserver for Rust.
libloading,0.9.0,328698970,2025-11-05,https://github.com/nagisa/rust_libloading/,Bindings around the platform's dynamic library loading primitives with greatly improved memory safety.
proc-macro-crate,3.5.0,328649838,2026-03-04,https://github.com/bkchr/proc-macro-crate,Replacement for crate (macro_rules keyword) in proc-macros
textwrap,0.16.2,327247680,2025-03-03,https://github.com/mgeisler/textwrap,"Library for word wrapping, indenting, and dedenting strings. Has optional support for Unicode and emojis as well as machine hyphenation."
humantime,2.3.0,324390003,2025-09-11,https://github.com/chronotope/humantime,"A parser and formatter for std::time::{Duration, SystemTime}"
petgraph,0.8.3,322662257,2025-09-30,https://github.com/petgraph/petgraph,Graph data structure library. Provides graph types and graph algorithms.
rustls-native-certs,0.8.3,319278033,2025-12-29,https://github.com/rustls/rustls-native-certs,rustls-native-certs allows rustls to use the platform native certificate store
siphasher,1.0.2,317130577,2026-01-27,https://github.com/jedisct1/rust-siphash,"SipHash-2-4, SipHash-1-3 and 128-bit variants in pure Rust"
convert_case,0.11.0,316317358,2026-01-31,https://github.com/rutrum/convert-case,Convert strings into any case
zerocopy-derive,0.8.47,312224392,2026-03-19,https://github.com/google/zerocopy,Custom derive for traits from the zerocopy crate
openssl-sys,0.9.112,309762269,2026-03-12,https://github.com/rust-openssl/rust-openssl,FFI bindings to OpenSSL
wasm-bindgen,0.2.114,306844898,2026-02-27,https://github.com/wasm-bindgen/wasm-bindgen,Easy support for interacting between JS and Rust.
wasm-bindgen-macro,0.2.114,306356475,2026-02-27,https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/macro,"Definition of the `#[wasm_bindgen]` attribute, an internal dependency"
wasm-bindgen-macro-support,0.2.114,306324025,2026-02-27,https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/macro-support,Implementation APIs for the `#[wasm_bindgen]` attribute
wasm-bindgen-shared,0.2.114,305772149,2026-02-27,https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/shared,"Shared support between wasm-bindgen and wasm-bindgen cli, an internal dependency."
nu-ansi-term,0.50.3,301258963,2025-10-10,https://github.com/nushell/nu-ansi-term,"Library for ANSI terminal colors and styles (bold, underline)"
serde_spanned,1.1.0,300900629,2026-03-23,https://github.com/toml-rs/toml,Serde-compatible spanned Value
phf,0.13.1,297837905,2025-08-23,https://github.com/rust-phf/rust-phf,Runtime support for perfect hash function data structures
which,8.0.2,295992261,2026-03-08,https://github.com/harryfei/which-rs.git,"A Rust equivalent of Unix command ""which"". Locate installed executable in cross platforms."
sha1,0.10.6,293693100,2026-02-13,https://github.com/RustCrypto/hashes,SHA-1 hash function
tokio-stream,0.1.18,290009576,2026-01-04,https://github.com/tokio-rs/tokio,Utilities to work with `Stream` and `tokio`.
derive_more,2.1.1,288232818,2025-12-22,https://github.com/JelteF/derive_more,Adds #[derive(x)] macros for more traits
prettyplease,0.2.37,287545979,2025-08-19,https://github.com/dtolnay/prettyplease,A minimal `syn` syntax tree pretty-printer
js-sys,0.3.91,285078316,2026-02-27,https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/js-sys,"Bindings for all JS global objects and functions in all JS environments like Node.js and browsers, built on `#[wasm_bindgen]` using the `wasm-bindgen` crate."
prost-types,0.14.3,282764559,2026-01-10,https://github.com/tokio-rs/prost,Prost definitions of Protocol Buffers well known types.
half,2.7.1,280703983,2025-10-14,https://github.com/VoidStarKat/half-rs,Half-precision floating point f16 and bf16 types for Rust implementing the IEEE 754-2008 standard binary16 and bfloat16 types.
windows_i686_gnullvm,0.53.1,280593568,2025-10-06,https://github.com/microsoft/windows-rs,Import lib for Windows
num-conv,0.2.1,279830383,2026-03-25,https://github.com/jhpratt/num-conv,"`num_conv` is a crate to convert between integer types without using `as` casts. This provides better certainty when refactoring, makes the exact behavior of code more explicit, and allows using turbo"
ordered-float,5.2.0,279346337,2026-03-25,https://github.com/reem/rust-ordered-float,Wrappers for total ordering on floats
openssl,0.10.76,272219393,2026-03-12,https://github.com/rust-openssl/rust-openssl,OpenSSL bindings
axum,0.8.8,272176971,2025-12-20,https://github.com/tokio-rs/axum,Web framework that focuses on ergonomics and modularity
libm,0.2.16,272021035,2026-03-17,https://github.com/rust-lang/compiler-builtins,libm in pure Rust
allocator-api2,0.4.0,269737700,2025-12-11,https://github.com/zakarumych/allocator-api2,Mirror of Rust's allocator API
axum-core,0.5.6,269209520,2025-12-27,https://github.com/tokio-rs/axum,Core types and traits for axum
bstr,1.12.1,268705398,2025-10-26,https://github.com/BurntSushi/bstr,A string type that is not required to be valid UTF-8.
bindgen,0.72.1,266404017,2025-08-31,https://github.com/rust-lang/rust-bindgen,Automatically generates Rust FFI bindings to C and C++ libraries.
wasm-bindgen-backend,0.2.104,264030753,2025-09-24,https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/backend,Backend code generation of the wasm-bindgen tool
tinystr,0.8.2,263669805,2025-10-28,https://github.com/unicode-org/icu4x,A small ASCII-only bounded length string representation.
is_terminal_polyfill,1.70.2,263550321,2025-10-21,https://github.com/polyfill-rs/is_terminal_polyfill,Polyfill for `is_terminal` stdlib feature for use with older MSRVs
home,0.5.12,263289319,2025-10-23,https://github.com/rust-lang/cargo,Shared definitions of home directories.
der,0.8.0,262114465,2026-02-13,https://github.com/RustCrypto/formats,Pure Rust embedded-friendly implementation of the Distinguished Encoding Rules (DER) for Abstract Syntax Notation One (ASN.1) as described in ITU X.690 with full support for heapless `no_std`/`no_allo
phf_generator,0.13.1,260570458,2025-08-23,https://github.com/rust-phf/rust-phf,PHF generation logic
litemap,0.8.1,260270579,2025-10-28,https://github.com/unicode-org/icu4x,"A key-value Map implementation based on a flat, sorted Vec."
adler2,2.0.1,258934070,2025-06-09,https://github.com/oyvindln/adler2,A simple clean-room implementation of the Adler-32 checksum
yoke,0.8.1,257973972,2025-10-28,https://github.com/unicode-org/icu4x,Abstraction allowing borrowed data to be carried along with the backing data it borrows from
